	SM57_PROX_100MM		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-36.24	163.03	0.31
5.859375	-33.50	106.25	0.33
8.789063	-30.63	67.42	0.15
11.718750	-31.61	100.69	0.87
14.648438	-30.33	98.80	0.82
17.578125	-25.16	107.17	0.82
20.507813	-23.94	58.47	0.42
23.437500	-16.96	177.67	0.19
26.367188	-12.92	114.43	0.60
29.296875	-13.69	94.63	0.99
32.226563	-11.11	76.79	0.97
35.156250	-9.77	80.16	0.99
38.085938	-8.11	85.93	0.98
41.015625	-6.77	84.02	1.00
43.945313	-6.22	80.61	1.00
46.875000	-6.07	79.57	1.00
49.804688	-5.42	78.31	1.00
52.734375	-5.24	78.82	1.00
55.664063	-3.65	73.65	1.00
58.593750	-3.48	72.44	1.00
61.523438	-2.85	68.59	1.00
64.453125	-2.40	69.06	1.00
67.382813	-2.00	68.13	1.00
70.312500	-1.74	64.36	1.00
73.242188	-1.25	62.43	1.00
76.171875	-1.07	60.54	1.00
79.101563	-0.51	57.64	1.00
82.031250	-0.37	58.70	1.00
84.960938	0.46	53.87	1.00
87.890625	1.00	51.55	1.00
90.820313	1.09	48.58	1.00
93.750000	1.06	44.07	1.00
96.679688	1.09	42.00	1.00
99.609375	1.10	40.46	1.00
102.539063	1.29	39.29	1.00
105.468750	1.61	37.21	1.00
108.398438	1.69	36.03	1.00
111.328125	1.55	32.25	1.00
114.257813	1.56	29.93	1.00
117.187500	1.53	28.68	1.00
120.117188	1.45	27.13	1.00
123.046875	1.44	26.29	1.00
125.976563	1.50	25.93	1.00
128.906250	1.62	25.50	1.00
131.835938	1.88	24.33	1.00
134.765625	2.05	21.18	1.00
137.695313	2.00	18.89	1.00
140.625000	1.92	16.48	1.00
143.554688	1.88	14.91	1.00
146.484375	1.88	13.66	1.00
149.414063	1.89	12.53	1.00
152.343750	1.93	10.63	1.00
155.273438	1.88	8.80	1.00
158.203125	1.57	5.29	1.00
161.132813	1.38	4.62	1.00
164.062500	1.31	4.45	1.00
166.992188	1.30	4.55	1.00
169.921875	1.33	4.14	1.00
172.851563	1.22	2.72	1.00
175.781250	0.96	0.88	1.00
178.710938	0.78	0.24	1.00
181.640625	0.51	0.18	1.00
184.570313	0.41	0.44	1.00
187.500000	0.44	0.27	1.00
190.429688	0.44	-0.42	1.00
193.359375	0.32	-1.08	1.00
196.289063	0.26	-1.39	1.00
199.218750	0.29	-1.75	1.00
202.148438	0.27	-2.54	1.00
205.078125	0.13	-3.71	1.00
208.007813	-0.04	-4.01	1.00
210.937500	-0.16	-3.84	1.00
213.867188	-0.17	-3.54	1.00
216.796875	-0.11	-3.81	1.00
219.726563	-0.16	-4.78	1.00
222.656250	-0.30	-5.85	1.00
225.585938	-0.43	-6.89	1.00
228.515625	-0.62	-7.39	1.00
231.445313	-0.79	-7.23	1.00
